item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,full_original_sentence,intervening_text,sent_id,source_file
82,setzen,medium,3,Der Deutsche Multimedia Verband ( dmmv ) setzt sich jetzt dafür,ein,aus;hinzu,"Der Deutsche Multimedia Verband ( dmmv ) setzt sich jetzt dafür ein , daß Werbe-EMails nur an Nutzer versandt werden dürfen , die sich ausdrücklich damit einverstanden erklärt haben ( ""opt-in""-Verfahren ) .",sich jetzt dafür,hdt-s54340,de_hdt-ud-train-a-1.conllu
83,setzen,medium,4,Selbst Intel setzt diese Chipsätze auf Server-Mainboards,ein,auseinander;fort,Selbst Intel setzt diese Chipsätze auf Server-Mainboards ein .,diese Chipsätze auf Server-Mainboards,hdt-s41598,de_hdt-ud-train-a-1.conllu
84,setzen,medium,3,Auch die konsequente Abkehr von der herkömmlichen Floppy setzt Apple bei Yosemite,fort,aus;gleich,Auch die konsequente Abkehr von der herkömmlichen Floppy setzt Apple bei Yosemite fort .,Apple bei Yosemite,hdt-s53380,de_hdt-ud-train-a-1.conllu
85,setzen,medium,7,"Die Gesellschaft setzte 295,5 ( Vorjahr 155,9 ) Millionen Dollar",um,voraus;auf,"Die Gesellschaft setzte 295,5 ( Vorjahr 155,9 ) Millionen Dollar um und erzielte einen Gewinn von 47,7 ( Vorjahr 11,1 ) Millionen Dollar .","295,5 ( Vorjahr 155,9 ) Millionen Dollar",hdt-s52596,de_hdt-ud-train-a-1.conllu
86,setzen,long,10,Nach Informationen des Spiegel setzen deutsche Polizeibehörden illegal ein Gerät zu der Überwachung von Handy-Besitzern,ein,frei;um,Nach Informationen des Spiegel setzen deutsche Polizeibehörden illegal ein Gerät zur Überwachung von Handy-Besitzern ein .,deutsche Polizeibehörden illegal ein Gerät zu der Überwachung von Handy-Besitzern,hdt-s83042,de_hdt-ud-train-a-2.conllu
87,setzen,long,14,Der kalifornische Hersteller S3 setzt mit der Ankündigung des Grafikchips Savage2000 den Trend zu immer höherer 3D-Leistung bei PC-Grafikkarten,fort,gleich;an,Der kalifornische Hersteller S3 setzt mit der Ankündigung des Grafikchips Savage2000 den Trend zu immer höherer 3D-Leistung bei PC-Grafikkarten fort .,mit der Ankündigung des Grafikchips Savage2000 den Trend zu immer höherer 3D-Leistung bei PC-Grafikkarten,hdt-s63765,de_hdt-ud-train-a-2.conllu
88,setzen,long,29,In einer knappen Entscheidung setzte sich in der Gesamtwertung die Website der scheidenden Bundestagspräsidentin Rita Süssmuth ( CDU ) gegen die rot-grüne Konkurrenz Matthias Berninger ( Bündnis90/Grüne ) und Johannes Kahrs ( SPD ),durch,drauf;zurück,In einer knappen Entscheidung setzte sich in der Gesamtwertung die Website der scheidenden Bundestagspräsidentin Rita Süssmuth ( CDU ) gegen die rot-grüne Konkurrenz Matthias Berninger ( Bündnis90/Grüne ) und Johannes Kahrs ( SPD ) durch .,sich in der Gesamtwertung die Website der scheidenden Bundestagspräsidentin Rita Süssmuth ( CDU ) gegen die rot-grüne Konkurrenz Matthias Berninger ( Bündnis90/Grüne ) und Johannes Kahrs ( SPD ),hdt-s102152,de_hdt-ud-dev.conllu
89,setzen,long,10,Für die mit bis zu 8000 Polygonen dargestellten Spielfiguren setzt Shiny seine RT-DAT-Engine ( Real Time Deformation and Tessalation ),ein,aus;hinzu,Für die mit bis zu 8000 Polygonen dargestellten Spielfiguren setzt Shiny seine RT-DAT-Engine ( Real Time Deformation and Tessalation ) ein .,Shiny seine RT-DAT-Engine ( Real Time Deformation and Tessalation ),hdt-s55038,de_hdt-ud-train-a-1.conllu
90,setzen,long,10,Die jetzt verkauften Systeme setzten gewissermaßen die schon seit einem halben Jahr laufende Pilotphase öffentlich,fort,zurück;entgegen,Die jetzt verkauften Systeme setzten gewissermaßen die schon seit einem halben Jahr laufende Pilotphase öffentlich fort .,gewissermaßen die schon seit einem halben Jahr laufende Pilotphase öffentlich,hdt-s13559,de_hdt-ud-test.conllu
91,ziehen,short,1,Der Sänger Oliver Hartmann zog sich,zurück,hoch;vor,"Der Sänger Oliver Hartmann zog sich zurück, sein Platz wurde von Mats Levén (Ex - Yngwie Malmsteen) besetzt.",sich,train-s12425,de_gsd-ud-train.conllu
92,ziehen,short,1,"Nachdem AOL in der letzten Woche einen Messenger für Linux herausgebracht hat , zog Yahoo",nach,um;aus,"Nachdem AOL in der letzten Woche einen Messenger für Linux herausgebracht hat , zog Yahoo nach und veröffentlichte am Wochenende eine Unix-Variante seines eigenen Instant Messenger .",Yahoo,hdt-s20168,de_hdt-ud-train-a-1.conllu
93,ziehen,short,2,Das Geschäft von Oracle ziehe langsam wieder,an,vor;um,Das Geschäft von Oracle ziehe langsam wieder an .,langsam wieder,hdt-s107043,de_hdt-ud-dev.conllu
94,ziehen,short,1,Microsoft zieht Spam-Filter,zurück,an;nach,Microsoft zieht Spam-Filter zurück .,Spam-Filter,hdt-s91896,de_hdt-ud-train-a-2.conllu
95,ziehen,short,1,"Nach Angaben des Blattes erklärten Bankvertreter , die Gespräche zögen sich",hin,ab;weiter,"Nach Angaben des Blattes erklärten Bankvertreter , die Gespräche zögen sich hin .",sich,hdt-s134738,de_hdt-ud-train-b-1.conllu
96,ziehen,medium,3,Motorola zieht Klage gegen Intel,zurück,hoch;heraus,Motorola zieht Klage gegen Intel zurück,Klage gegen Intel,hdt-s48142,de_hdt-ud-train-a-1.conllu
97,ziehen,medium,3,"Wenn man sie zwischen einem Professor oder dem Programm wählen ließ , zogen sie das Programm",vor,herab;heran,"Wenn man sie zwischen einem Professor oder dem Programm wählen ließ , zogen sie das Programm vor .",sie das Programm,hdt-s98955,de_hdt-ud-train-a-2.conllu
98,ziehen,medium,3,Adobe zieht Anklage gegen eBook-Hacker,zurück,vor;aus,Adobe zieht Anklage gegen eBook-Hacker zurück,Anklage gegen eBook-Hacker,hdt-s193867,de_hdt-ud-train-b-2.conllu
99,ziehen,medium,7,Ziehe man das Stromkabel aus einem fehlerhaften ISDN-Netzabschlussgerät,heraus,zurück;vorbei,"Ziehe man das Stromkabel aus einem fehlerhaften ISDN-Netzabschlussgerät heraus , könnten Metallstifte im Gerät abbrechen und im Stromkabel steckenbleiben .",man das Stromkabel aus einem fehlerhaften ISDN-Netzabschlussgerät,hdt-s200203,de_hdt-ud-train-b-2.conllu
100,ziehen,medium,6,"Kamen 1997 gerade einmal 108.000 Besucher auf das alte Messegelände , zog die Systems dieses Jahr 147.000 Interessierte",an,zusammen;durch,"Kamen 1997 gerade einmal 108.000 Besucher auf das alte Messegelände , zog die Systems dieses Jahr 147.000 Interessierte an .",die Systems dieses Jahr 147.000 Interessierte,hdt-s142845,de_hdt-ud-train-b-1.conllu
101,ziehen,long,13,Schätzungen zufolge zog das Fest schon in den 1990er Jahren acht - bis zehntausend auswärtige Besucher,an,zusammen;ein,"Schätzungen zufolge zog das Fest schon in den 1990er Jahren acht - bis zehntausend auswärtige Besucher an, so dass sich die Zahl der Menschen in der Kleinstadt an einem einzigen Tag auf das Drei - bis Vierfache erhöht.",das Fest schon in den 1990er Jahren acht - bis zehntausend auswärtige Besucher,train-s10483,de_gsd-ud-train.conllu
102,ziehen,long,11,"Meier wurde zunächst in die Kartause Ittingen überführt , später zog er sich in das Kloster St. Georgenberg bei Vomp in Tirol",zurück,zusammen;gleich,"Meier wurde zunächst in die Kartause Ittingen überführt, später zog er sich ins Kloster St. Georgenberg bei Vomp in Tirol zurück.",er sich in das Kloster St. Georgenberg bei Vomp in Tirol,train-s10381,de_gsd-ud-train.conllu
103,ziehen,long,26,"Der Chipproduzent zieht sich mit dem Verkauf der drei DRAM-Fabriken in Italien beziehungsweise Richardson , Texas und Singapur sowie der Weitergabe von zwei Joint Ventures endgültig aus dem Speichergeschäft",zurück,zusammen;vorbei,"Der Chipproduzent zieht sich mit dem Verkauf der drei DRAM-Fabriken in Italien beziehungsweise Richardson , Texas und Singapur sowie der Weitergabe von zwei Joint Ventures endgültig aus dem Speichergeschäft zurück .","sich mit dem Verkauf der drei DRAM-Fabriken in Italien beziehungsweise Richardson , Texas und Singapur sowie der Weitergabe von zwei Joint Ventures endgültig aus dem Speichergeschäft",hdt-s189583,de_hdt-ud-train-b-2.conllu
104,ziehen,long,8,Die Mehrzahl der Betroffenen zieht der Umfrage zufolge diese schriftliche Vereinbarung der Beobachtungsvariante,vor,ab;um,Die Mehrzahl der Betroffenen zieht der Umfrage zufolge diese schriftliche Vereinbarung der Beobachtungsvariante vor .,der Umfrage zufolge diese schriftliche Vereinbarung der Beobachtungsvariante,hdt-s193088,de_hdt-ud-train-b-2.conllu
105,ziehen,long,10,Anders als die meisten Softwareunternehmen zieht der ehemalige Uni-Dozent seinen Nachwuchs nämlich in einer eigenen Akademie,heran,mit;herab,Anders als die meisten Softwareunternehmen zieht der ehemalige Uni-Dozent seinen Nachwuchs nämlich in einer eigenen Akademie heran .,der ehemalige Uni-Dozent seinen Nachwuchs nämlich in einer eigenen Akademie,hdt-s31997,de_hdt-ud-train-a-1.conllu
106,machen,short,2,""" Wir brauchen Transparenz , aber ich setze auf die aufgeklärte Gesellschaft "" , machte der SPD-Politiker",klar,her;dicht,""" Wir brauchen Transparenz , aber ich setze auf die aufgeklärte Gesellschaft "" , machte der SPD-Politiker klar .",der SPD-Politiker,hdt-s178107,de_hdt-ud-train-b-2.conllu
107,machen,short,0,Mehr als 3.000 Handy-Besitzer machten,mit,bekannt;klar,"Mehr als 3.000 Handy-Besitzer machten mit und wurden von dem Geistlichen jeden Tag mit einem Bibelspruch versorgt , der für "" eine Unterbrechung im Alltag "" sorgen sollte .",,hdt-s180864,de_hdt-ud-train-b-2.conllu
108,machen,short,1,Huck und Jim machen anfangs,mit,dicht;fest,"Huck und Jim machen anfangs mit, doch dann lassen sie den Plan auffliegen.",anfangs,train-s8307,de_gsd-ud-train.conllu
109,machen,short,1,Eine alte 150-mm-Wafer-Anlage in Sagamahira macht komplett,zu,bekannt;schwer,"Eine alte 150-mm-Wafer-Anlage in Sagamahira macht komplett zu , auch andere Fertigungsstraßen für diese Wafer sollen abgebaut werden .",komplett,hdt-s29778,de_hdt-ud-train-a-1.conllu
110,machen,short,1,Schauspielerin Sandra Bullock machte es,vor,mit;wett,Schauspielerin Sandra Bullock machte es vor .,es,hdt-s129432,de_hdt-ud-train-b-1.conllu
111,machen,medium,5,Einen weiteren Grund für den Fusionsdrang der Unternehmen macht Deninger auch bei den Aktionären,aus,weiter;mit,Einen weiteren Grund für den Fusionsdrang der Unternehmen macht Deninger auch bei den Aktionären aus .,Deninger auch bei den Aktionären,hdt-s87852,de_hdt-ud-train-a-2.conllu
112,machen,medium,6,"Bezieht man die Kosten für hausinternes IT/TK-Personal mit ein , machen diese 41,1 Prozent des gesamten Investitionsvolumens",aus,zu;klar,"Bezieht man die Kosten für hausinternes IT/TK-Personal mit ein , machen diese 41,1 Prozent des gesamten Investitionsvolumens aus .","diese 41,1 Prozent des gesamten Investitionsvolumens",hdt-s48267,de_hdt-ud-train-a-1.conllu
113,machen,medium,6,Sie machen laut Zieschang zwei Drittel der Kunden,aus,her;bekannt,Sie machen laut Zieschang zwei Drittel der Kunden aus .,laut Zieschang zwei Drittel der Kunden,hdt-s180811,de_hdt-ud-train-b-2.conllu
114,machen,medium,6,"Zwar ist Online-Speicher schon heute günstig - oft genug in kleinen Portionen sogar durch Werbung quasi kostenlos , doch die hohen Verbindungskosten machen die schöne Idee zumindest in Deutschland",zunichte,mit;dicht,"Zwar ist Online-Speicher schon heute günstig - oft genug in kleinen Portionen sogar durch Werbung quasi kostenlos , doch die hohen Verbindungskosten machen die schöne Idee zumindest in Deutschland zunichte .",die schöne Idee zumindest in Deutschland,hdt-s106942,de_hdt-ud-dev.conllu
115,machen,medium,3,"Der Vorstand macht 5,4 Milliarden Mark",locker,zu;fest,"Der Vorstand macht 5,4 Milliarden Mark locker, um die restlichen Aktien von Roussel Uclaf, die bereits mehrheitlich zur Gruppe gehörende französischen Pharmafirma, zu erwerben.","5,4 Milliarden Mark",train-s1841,de_gsd-ud-train.conllu
116,machen,long,9,"Intel sah den Grund für die gesunkenen Umsatzerwartungen bei der schwachen europäischen Nachfrage für Microprozessoren zu dem Bau von Computern , schließlich mache der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent",aus,auf;wett,"Intel sah den Grund für die gesunkenen Umsatzerwartungen bei der schwachen europäischen Nachfrage für Microprozessoren zum Bau von Computern , schließlich mache der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent aus .",der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent,hdt-s53210,de_hdt-ud-train-a-1.conllu
117,machen,long,12,"Hanns-Eberhard Schleyer , Generalsekretär des Zentralverbands des Deutschen Handwerks , machte dagegen den "" inflexiblen Arbeitsmarkt "" als wichtigsten Stolperstein der New Economy",aus,her;locker,"Hanns-Eberhard Schleyer , Generalsekretär des Zentralverbands des Deutschen Handwerks , machte dagegen den "" inflexiblen Arbeitsmarkt "" als wichtigsten Stolperstein der New Economy aus , auf die sich auch die Handwerkerbranche spätestens seit dem Start des Portals Handwerk.de eingeschossen hat .","dagegen den "" inflexiblen Arbeitsmarkt "" als wichtigsten Stolperstein der New Economy",hdt-s39135,de_hdt-ud-train-a-1.conllu
118,machen,long,10,"Japanische Hersteller ( Hitachi , NEC , Fujitsu ) machen in der Top-500-Liste nur einen Anteil von etwa 10 Prozent",aus,auf;wett,"Japanische Hersteller ( Hitachi , NEC , Fujitsu ) machen in der Top-500-Liste nur einen Anteil von etwa 10 Prozent aus - und zum guten Schluss findet man darin auch noch vier Selbstbau-Cluster-Systeme einiger Unis .",in der Top-500-Liste nur einen Anteil von etwa 10 Prozent,hdt-s11146,de_hdt-ud-test.conllu
119,machen,long,9,Dieser Zuwachs von über 200 Millionen Mark macht mehr als die Hälfte der gesamten Umsatzsteigerung des Buchmarktes,aus,mit;frei,Dieser Zuwachs von über 200 Millionen Mark macht mehr als die Hälfte der gesamten Umsatzsteigerung des Buchmarktes aus .,mehr als die Hälfte der gesamten Umsatzsteigerung des Buchmarktes,hdt-s64897,de_hdt-ud-train-a-2.conllu
120,machen,long,8,Zwar machten sie in dem Themenpark grobe Entgleisungen des Sponsoring,aus,bekannt;mit,Zwar machten sie im Themenpark grobe Entgleisungen des Sponsoring aus - etwa in Form einer Kinoachterbahn der Chemischen Industrie mit dem ausgewogenen Informationsgehalt einer Kaffeefahrt .,sie in dem Themenpark grobe Entgleisungen des Sponsoring,hdt-s173263,de_hdt-ud-train-b-2.conllu
121,fallen,short,2,Völlig indiskutabel fiel die Helligkeitsverteilung,aus,zusammen;heraus,Völlig indiskutabel fiel die Helligkeitsverteilung aus .,die Helligkeitsverteilung,hdt-s107655,de_hdt-ud-dev.conllu
122,fallen,short,2,Die zweite Maßnahme fällt weniger spektakulär,aus,zurück;ab,Die zweite Maßnahme fällt weniger spektakulär aus :,weniger spektakulär,hdt-s188496,de_hdt-ud-train-b-2.conllu
123,fallen,short,2,Die normalen Mobilsurf-Gebühren fallen jedoch weiter,an,ein;flach,"Die normalen Mobilsurf-Gebühren fallen jedoch weiter an , also 39 Pfennig pro Minute im GSM-Netz beziehungsweise volumenbasiert über GPRS .",jedoch weiter,hdt-s18055,de_hdt-ud-test.conllu
124,fallen,short,2,Bei dem Konkurrenten NEC fallen 4000 Arbeitsplätze,weg,flach;durch,Beim Konkurrenten NEC fallen 4000 Arbeitsplätze weg .,4000 Arbeitsplätze,hdt-s66342,de_hdt-ud-train-a-2.conllu
125,fallen,short,1,Manchen Teilnehmern fiel jedoch,auf,an;flach,"Manchen Teilnehmern fiel jedoch auf , daß der angeblich Angerufene zum aufgeführten Zeitpunkt außer Haus oder gar außer Landes war .",jedoch,hdt-s72188,de_hdt-ud-train-a-2.conllu
126,fallen,medium,3,""" Zu dem Glück fällt die unselige Forderung",weg,durch;zurück,""" Zum Glück fällt die unselige Forderung weg , dass jedes noch so kleine Telekommunikationsgerätchen eine Überwachungsschnittstelle haben sollte "" , freut sich Gerhard Tamm , Telekommunikationsspezialist beim Branchenverband BITKOM .",die unselige Forderung,hdt-s158398,de_hdt-ud-train-b-1.conllu
127,fallen,medium,6,""" In diesen Städten fällt fast die Hälfte des gesamten Telefonverkehrs",an,ein;zu,""" In diesen Städten fällt fast die Hälfte des gesamten Telefonverkehrs an und wir wollen im nächsten Jahr 400.000 bis 500.000 Kunden gewinnen "" , sagte Schmid .",fast die Hälfte des gesamten Telefonverkehrs,hdt-s73708,de_hdt-ud-train-a-2.conllu
128,fallen,medium,4,Netscape fällt mit 33 Prozent weiter,zurück,auf;herein,Netscape fällt mit 33 Prozent weiter zurück .,mit 33 Prozent weiter,hdt-s8418,de_hdt-ud-dev.conllu
129,fallen,medium,3,Das Frühstück fällt nicht so üppig,aus,um;ein,"Das Frühstück fällt nicht so üppig aus, ist aber immer vollständig.",nicht so üppig,train-s830,de_gsd-ud-train.conllu
130,fallen,medium,3,Auch die von Autonomen für den 17.6. angekündigten Chaos-Tage fielen mehr oder weniger,flach,weg;an,Auch die von Autonomen für den 17.6. angekündigten Chaos-Tage fielen mehr oder weniger flach .,mehr oder weniger,hdt-s98636,de_hdt-ud-train-a-2.conllu
131,fallen,long,11,"Der Entwurf falle hinter die schon bestehenden Landesgesetze in Brandenburg , Schleswig-Holstein und Berlin",zurück,ab;herein,"Der Entwurf falle hinter die schon bestehenden Landesgesetze in Brandenburg , Schleswig-Holstein und Berlin zurück .","hinter die schon bestehenden Landesgesetze in Brandenburg , Schleswig-Holstein und Berlin",hdt-s8471,de_hdt-ud-dev.conllu
132,fallen,long,10,"Besonders stark fiel dies bei dem Spitzenmodell , dem Power Mac G4/500 ,",aus,an;um,"Besonders stark fiel dies beim Spitzenmodell , dem Power Mac G4/500 , aus :","dies bei dem Spitzenmodell , dem Power Mac G4/500 ,",hdt-s205794,de_hdt-ud-train-b-2.conllu
133,fallen,long,10,Bei beiden Tarifmodellen fällt der gesamte Betrag für jeweils fünf Monate in dem Voraus,an,heraus;leicht,Bei beiden Tarifmodellen fällt der gesamte Betrag für jeweils fünf Monate im Voraus an .,der gesamte Betrag für jeweils fünf Monate in dem Voraus,hdt-s199943,de_hdt-ud-train-b-2.conllu
134,fallen,long,9,Letzte Woche fiel er mit einer seltsam aufgeregten Nachricht in dem Internet,auf,ab;auseinander,Letzte Woche fiel er mit einer seltsam aufgeregten Nachricht im Internet auf .,er mit einer seltsam aufgeregten Nachricht in dem Internet,hdt-s150353,de_hdt-ud-train-b-1.conllu
135,fallen,long,9,"Zusätzlich fällt in dem PrivateNet-Tarif eine monatliche Grundgebühr von 9,90 Mark",an,durch;weg,"Zusätzlich fällt im PrivateNet-Tarif eine monatliche Grundgebühr von 9,90 Mark an - aber nur dann , wenn der Surfer den Zugang länger als fünf Stunden im Monat nutzt .","in dem PrivateNet-Tarif eine monatliche Grundgebühr von 9,90 Mark",hdt-s200338,de_hdt-ud-train-b-2.conllu
136,laufen,short,1,Die längerfristige Strategie des Marktführers läuft darauf,hinaus,weiter;hinterher,"Die längerfristige Strategie des Marktführers läuft darauf hinaus , den Pentium-Prozessor durch den Pentium II abzulösen .",darauf,hdt-s60038,de_hdt-ud-train-a-1.conllu
137,laufen,short,2,"Mit rund 70 Millionen verkaufter PCs wurden zwar etwa 10 Millionen Einheiten mehr als 1995 losgeschlagen , doch vor allem die unerwartet niedrigen Verkaufszahlen zu dem Jahresschluß liefen den Prognosen",zuwider,an;zu,"Mit rund 70 Millionen verkaufter PCs wurden zwar etwa 10 Millionen Einheiten mehr als 1995 losgeschlagen , doch vor allem die unerwartet niedrigen Verkaufszahlen zum Jahresschluß liefen den Prognosen zuwider und drückten das Gesamtergebnis .",den Prognosen,hdt-s90985,de_hdt-ud-train-a-2.conllu
138,laufen,short,2,An dem Saisonende wurde lief Montadors Vertrag,aus,hinaus;hinterher,Am Saisonende wurde lief Montadors Vertrag aus und dieser unterschrieb einen Zweijahres - Vertrag bei den Buffalo Sabres.,Montadors Vertrag,train-s8562,de_gsd-ud-train.conllu
139,laufen,short,2,An dem 11. August läuft eine Galgenfrist,aus,an;davon,"Am 11. August läuft eine Galgenfrist aus , nach der Richardson den Kreditgebern einen plausiblen Plan für die Reorganisation seines Unternehmens präsentieren muß .",eine Galgenfrist,hdt-s84484,de_hdt-ud-train-a-2.conllu
140,laufen,short,0,Der ICANN-Wahlkampf läuft,an,herab;hinaus,Der ICANN-Wahlkampf läuft an,,hdt-s36782,de_hdt-ud-train-a-1.conllu
141,laufen,medium,4,""" Auch bei unseren Mitgliedern , also den registrierenden Providern , laufen scheinbar eine Menge Anfragen",auf,zuwider;heiss,""" Auch bei unseren Mitgliedern , also den registrierenden Providern , laufen scheinbar eine Menge Anfragen auf . """,scheinbar eine Menge Anfragen,hdt-s114237,de_hdt-ud-test.conllu
142,laufen,medium,5,Diese Tariffestlegung der Regulierungsbehörde für Telekommunikation und Post ( RegTP ) läuft zu dem 31. März 2001,aus,durch;nach,Diese Tariffestlegung der Regulierungsbehörde für Telekommunikation und Post ( RegTP ) läuft zum 31. März 2001 aus .,zu dem 31. März 2001,hdt-s175475,de_hdt-ud-train-b-2.conllu
143,laufen,medium,4,Meist laufen die Hinweise bei Hotline-Adressen,auf,nach;ein,Meist laufen die Hinweise bei Hotline-Adressen auf .,die Hinweise bei Hotline-Adressen,hdt-s114340,de_hdt-ud-test.conllu
144,laufen,medium,3,"Der große Bruder AMD Athlon mit derzeit maximal 1,4 GHz läuft all diesen Konfigurationen",davon,weiter;an,"Der große Bruder AMD Athlon mit derzeit maximal 1,4 GHz läuft all diesen Konfigurationen davon .",all diesen Konfigurationen,hdt-s185035,de_hdt-ud-train-b-2.conllu
145,laufen,medium,6,Computerspiele für Kinder laufen alt bewährten Spielen zunehmend den Rang,ab,aus;nach,Computerspiele für Kinder laufen alt bewährten Spielen zunehmend den Rang ab .,alt bewährten Spielen zunehmend den Rang,hdt-s61282,de_hdt-ud-train-a-2.conllu
146,laufen,long,8,In dem September aber laufen die Übergangsverträge zwischen ICANN und dem amerikanischen Handelsministerium,aus,herab;weg,Im September aber laufen die Übergangsverträge zwischen ICANN und dem amerikanischen Handelsministerium aus .,die Übergangsverträge zwischen ICANN und dem amerikanischen Handelsministerium,hdt-s180295,de_hdt-ud-train-b-2.conllu
147,laufen,long,15,Darüber hinaus läuft die chemische Freisetzung von Wasserstoff aus dem N - Ethylcarbazol ohne weitere Hilfsmittel vergleichsweise langsam,ab,davon;aus,"Darüber hinaus läuft die chemische Freisetzung von Wasserstoff aus dem N - Ethylcarbazol ohne weitere Hilfsmittel vergleichsweise langsam ab, was eine Fahrzeugbeschleunigung, wie sie im Automobilbau erwartet wird, nicht zustandekommen lässt.",die chemische Freisetzung von Wasserstoff aus dem N - Ethylcarbazol ohne weitere Hilfsmittel vergleichsweise langsam,train-s12812,de_gsd-ud-train.conllu
148,laufen,long,9,An dem 1. September läuft für Investoren die vertragliche Haltefrist über 170 Millionen Telekom-Papieren,aus,hinterher;hinaus,"Am 1. September läuft für Investoren die vertragliche Haltefrist über 170 Millionen Telekom-Papieren aus , die diese im Zuge der Übernahme des US-Mobilfunkanbieters VoiceStream erhalten hatten .",für Investoren die vertragliche Haltefrist über 170 Millionen Telekom-Papieren,hdt-s57800,de_hdt-ud-train-a-1.conllu
149,laufen,long,8,Mit Torpedo Jaroslawl und seinem Stammklub SKA Sankt Petersburg lief er in einer Saison für zwei verschiedene Teams,auf,weiter;weg,Mit Torpedo Jaroslawl und seinem Stammklub SKA Sankt Petersburg lief er in einer Saison für zwei verschiedene Teams auf.,er in einer Saison für zwei verschiedene Teams,train-s6814,de_gsd-ud-train.conllu
150,laufen,long,9,Nach Einschätzungen von Analysten und Industrievertretern laufen diese Ermittlungen unabhängig von der außergerichtlichen Einigung auf Hochtouren,weiter,zuwider;durch,Nach Einschätzungen von Analysten und Industrievertretern laufen diese Ermittlungen unabhängig von der außergerichtlichen Einigung auf Hochtouren weiter .,diese Ermittlungen unabhängig von der außergerichtlichen Einigung auf Hochtouren,hdt-s82562,de_hdt-ud-train-a-2.conllu
151,bringen,short,2,Weiterhin brachte das Anklagebündnis,vor,um;an,"Weiterhin brachte das Anklagebündnis vor , dass Microsoft auch gegen Paragraf eins verstoße , indem der Softwarehersteller seine Monopolstellung durch die Bündelung des Internet Explorers mit dem Betriebssystem und durch Exklusiv-Verträge mit Soft- und Hardware-Unternehmen sowie Internet-Providern zu schützen und auszubauen versuche .",das Anklagebündnis,hdt-s31930,de_hdt-ud-train-a-1.conllu
152,bringen,short,2,""" Die Bildschirmerfahrungen bringen die Kinder",ab,an;heraus,""" Die Bildschirmerfahrungen bringen die Kinder ab von der realen physischen und sozialen Welt "" .",die Kinder,hdt-s204463,de_hdt-ud-train-b-2.conllu
153,bringen,short,1,"JBuilder unterstützt jetzt mehrere JDKs , bringt Swing-Komponenten",mit,ein;ab,"JBuilder unterstützt jetzt mehrere JDKs , bringt Swing-Komponenten mit und bietet CORBA-Integration mit dem VisiBroker 3.2 .",Swing-Komponenten,hdt-s121043,de_hdt-ud-test.conllu
154,bringen,short,2,Compaq bringt neuen Alpha-Prozessor,heraus,fertig;auf,Compaq bringt neuen Alpha-Prozessor heraus,neuen Alpha-Prozessor,hdt-s116795,de_hdt-ud-test.conllu
155,bringen,short,2,Eine Single-User-SQL-Datenbank bringt REALbasic ebenfalls,mit,ein;an,Eine Single-User-SQL-Datenbank bringt REALbasic ebenfalls mit .,REALbasic ebenfalls,hdt-s4244,de_hdt-ud-dev.conllu
156,bringen,medium,5,Dies brachte ihm polizeiliche Ermittlungen wegen Wahlbehinderung,ein,vor;bei,Dies brachte ihm polizeiliche Ermittlungen wegen Wahlbehinderung ein.,ihm polizeiliche Ermittlungen wegen Wahlbehinderung,train-s11832,de_gsd-ud-train.conllu
157,bringen,medium,7,Jedes Mitglied bringt 100 Millionen US-Dollar Startkapital in das Gemeinschaftsprojekt,ein,unter;fertig,Jedes Mitglied bringt 100 Millionen US-Dollar Startkapital in das Gemeinschaftsprojekt ein .,100 Millionen US-Dollar Startkapital in das Gemeinschaftsprojekt,hdt-s13916,de_hdt-ud-test.conllu
158,bringen,medium,4,Das Flex-ATX-Board D810E2CB eignet sich für besonders kompakte Rechner und bringt optional sogar einen Onboard-LAN-Adapter,mit,ab;an,Das Flex-ATX-Board D810E2CB eignet sich für besonders kompakte Rechner und bringt optional sogar einen Onboard-LAN-Adapter mit .,optional sogar einen Onboard-LAN-Adapter,hdt-s40227,de_hdt-ud-train-a-1.conllu
159,bringen,medium,6,In diese Verbindung bringt Adaptec die PCI-Satelliten-Karte Satellite Express ABA-1040,ein,nah;um,"In diese Verbindung bringt Adaptec die PCI-Satelliten-Karte Satellite Express ABA-1040 ein , während CyberStar über die Satelliten seiner Muttergesellschaft Loral Space & Communications die Netzwerkdienste zur Verfügung stellt .",Adaptec die PCI-Satelliten-Karte Satellite Express ABA-1040,hdt-s121652,de_hdt-ud-test.conllu
160,bringen,medium,4,Motorola bringt VoxML in die Allianz,ein,an;ab,"Motorola bringt VoxML in die Allianz ein , eine XML-Sprache , die es erlaubt , Spracherkennungsfunktionen in Web-Seiten zu integrieren .",VoxML in die Allianz,hdt-s183002,de_hdt-ud-train-b-2.conllu
