item_id,verb_stem,distance_bucket,n_intervening_tokens,context_sentence,correct_prefix,distractor_prefixes,n_candidates,full_original_sentence,intervening_text,sent_id,source_file
56,ziehen,short,2,Arcor zieht bei DSL-Preisen,nach,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;um;vor;vorbei;weiter;zurück;zusammen,20,Arcor zieht bei DSL-Preisen nach,bei DSL-Preisen,hdt-s200418,de_hdt-ud-train-b-2.conllu
57,ziehen,short,2,Nun ziehen sie gemeinsam,weiter,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;zurück;zusammen,20,"Nun ziehen sie gemeinsam weiter und stoßen auf ein einsames Haus, in dem ein altes Ehepaar lebt.",sie gemeinsam,train-s12312,de_gsd-ud-train.conllu
58,ziehen,medium,6,In der Folge zog er in das neugeschaffene Schottische Parlament,ein,ab;an;aus;davon;durch;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;weiter;zurück;zusammen,20,In der Folge zog er in das neugeschaffene Schottische Parlament ein und wurde zum stellvertretenden Minister für Housing & Local Government ernannt.,er in das neugeschaffene Schottische Parlament,train-s12242,de_gsd-ud-train.conllu
59,ziehen,medium,6,Wie kaum eine andere öffentliche Einrichtung ziehen die verglasten Häuschen Rowdies und Randalierer,an,ab;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;weiter;zurück;zusammen,20,Wie kaum eine andere öffentliche Einrichtung ziehen die verglasten Häuschen Rowdies und Randalierer an .,die verglasten Häuschen Rowdies und Randalierer,hdt-s174263,de_hdt-ud-train-b-2.conllu
60,ziehen,medium,5,Hutchison zieht sich aus Konsortium mit E-Plus,zurück,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;weiter;zusammen,20,Hutchison zieht sich aus Konsortium mit E-Plus zurück,sich aus Konsortium mit E-Plus,hdt-s35928,de_hdt-ud-train-a-1.conllu
61,ziehen,long,8,"Olicom , bislang einer der führenden Herstellern von Geräten und Adaptern für Token-Ring-Netze , zieht sich in einer überraschenden Wendung aus diesem Markt",zurück,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;weiter;zusammen,20,"Olicom , bislang einer der führenden Herstellern von Geräten und Adaptern für Token-Ring-Netze , zieht sich in einer überraschenden Wendung aus diesem Markt zurück :",sich in einer überraschenden Wendung aus diesem Markt,hdt-s125982,de_hdt-ud-train-b-1.conllu
62,ziehen,long,9,Daraufhin zog der Spiegel an dem 10. März in seiner Online-Ausgabe,nach,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;um;vor;vorbei;weiter;zurück;zusammen,20,Daraufhin zog der Spiegel am 10. März in seiner Online-Ausgabe nach :,der Spiegel an dem 10. März in seiner Online-Ausgabe,hdt-s102549,de_hdt-ud-dev.conllu
63,ziehen,long,8,"Der 58jährige zieht sich , wie es hieß , aus Altersgründen",zurück,ab;an;aus;davon;durch;ein;gleich;herab;heran;heraus;hin;hoch;mit;nach;um;vor;vorbei;weiter;zusammen,20,"Der 58jährige zieht sich , wie es hieß , aus Altersgründen zurück .","sich , wie es hieß , aus Altersgründen",hdt-s57074,de_hdt-ud-train-a-1.conllu
64,machen,short,2,Nishigaki macht sich gerade,auf,aus;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Nishigaki macht sich gerade auf zu einer zweiwöchigen Reise zu Investoren in den USA und in Europa .,sich gerade,hdt-s33004,de_hdt-ud-train-a-1.conllu
65,machen,short,0,Drei Millionen machen,mit,auf;aus;bekannt;dicht;fest;frei;her;kaputt;klar;locker;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Drei Millionen machen mit bei SETI@home,,hdt-s94395,de_hdt-ud-train-a-2.conllu
66,machen,short,0,Nur IBM macht,mit,auf;aus;bekannt;dicht;fest;frei;her;kaputt;klar;locker;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Nur IBM macht mit,,hdt-s53518,de_hdt-ud-train-a-1.conllu
67,machen,medium,5,Einen weiteren Grund für den Fusionsdrang der Unternehmen macht Deninger auch bei den Aktionären,aus,auf;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Einen weiteren Grund für den Fusionsdrang der Unternehmen macht Deninger auch bei den Aktionären aus .,Deninger auch bei den Aktionären,hdt-s87852,de_hdt-ud-train-a-2.conllu
68,machen,medium,3,Viag Interkom macht es der Telekom,nach,auf;aus;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Viag Interkom macht es der Telekom nach :,es der Telekom,hdt-s154223,de_hdt-ud-train-b-1.conllu
69,machen,medium,7,"Von den 316 Millionen in dem letzten Jahr aus dem Internet gezogenen Musiktiteln gingen 94,5 Prozent unentgeltlich durch die Leitung , und den Löwenanteil ( 228 Millionen Stück ) machten dabei Kopien aus Tauschbörsen à la Napster",aus,auf;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,"Von den 316 Millionen im letzten Jahr aus dem Internet gezogenen Musiktiteln gingen 94,5 Prozent unentgeltlich durch die Leitung , und den Löwenanteil ( 228 Millionen Stück ) machten dabei Kopien aus Tauschbörsen à la Napster aus .",dabei Kopien aus Tauschbörsen à la Napster,hdt-s195187,de_hdt-ud-train-b-2.conllu
70,machen,long,9,"Intel sah den Grund für die gesunkenen Umsatzerwartungen bei der schwachen europäischen Nachfrage für Microprozessoren zu dem Bau von Computern , schließlich mache der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent",aus,auf;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,"Intel sah den Grund für die gesunkenen Umsatzerwartungen bei der schwachen europäischen Nachfrage für Microprozessoren zum Bau von Computern , schließlich mache der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent aus .",der PC-Sektor bei Intel einen Absatzanteil von 66 Prozent,hdt-s53210,de_hdt-ud-train-a-1.conllu
71,machen,long,10,"Japanische Hersteller ( Hitachi , NEC , Fujitsu ) machen in der Top-500-Liste nur einen Anteil von etwa 10 Prozent",aus,auf;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,"Japanische Hersteller ( Hitachi , NEC , Fujitsu ) machen in der Top-500-Liste nur einen Anteil von etwa 10 Prozent aus - und zum guten Schluss findet man darin auch noch vier Selbstbau-Cluster-Systeme einiger Unis .",in der Top-500-Liste nur einen Anteil von etwa 10 Prozent,hdt-s11146,de_hdt-ud-test.conllu
72,machen,long,17,Allein die Lizenzkosten machen etwa ein Drittel der 6 bis 8 Milliarden Mark zu dem Aufbau des landesweiten UMTS-Netzes in Deutschland,aus,auf;bekannt;dicht;fest;frei;her;kaputt;klar;locker;mit;nach;schwer;vor;weiter;wett;zu;zunichte;zunutze,19,Allein die Lizenzkosten machen etwa ein Drittel der 6 bis 8 Milliarden Mark zum Aufbau des landesweiten UMTS-Netzes in Deutschland aus .,etwa ein Drittel der 6 bis 8 Milliarden Mark zu dem Aufbau des landesweiten UMTS-Netzes in Deutschland,hdt-s52440,de_hdt-ud-train-a-1.conllu
73,fallen,short,1,Grund- oder Einwahlgebühren fallen nicht,an,ab;auf;aus;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Grund- oder Einwahlgebühren fallen nicht an , es gibt keine Mindestnutzung .",nicht,hdt-s22554,de_hdt-ud-train-a-1.conllu
74,fallen,short,2,Bei dem Konkurrenten NEC fallen 4000 Arbeitsplätze,weg,ab;an;auf;aus;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;zu;zurück;zusammen,17,Beim Konkurrenten NEC fallen 4000 Arbeitsplätze weg .,4000 Arbeitsplätze,hdt-s66342,de_hdt-ud-train-a-2.conllu
75,fallen,short,2,"Datenspionage und Datendiebstahl , Kreditkartenbetrug , Kinderpornografie , Extremismus und Terrorismus fielen dem Außenminister",ein,ab;an;auf;aus;auseinander;durch;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Datenspionage und Datendiebstahl , Kreditkartenbetrug , Kinderpornografie , Extremismus und Terrorismus fielen dem Außenminister ein .",dem Außenminister,hdt-s102075,de_hdt-ud-dev.conllu
76,fallen,medium,3,Falle das Gutachten positiv,aus,ab;an;auf;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Falle das Gutachten positiv aus , werde Bayern auf jeden Fall Karlsruhe anrufen , sagte Scheufele .",das Gutachten positiv,hdt-s32460,de_hdt-ud-train-a-1.conllu
77,fallen,medium,3,"Für die Basis- und Zusatzdienste , die Voicebox und dpa-Schlagzeilen fallen keine monatlichen Gebühren",an,ab;auf;aus;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Für die Basis- und Zusatzdienste , die Voicebox und dpa-Schlagzeilen fallen keine monatlichen Gebühren an .",keine monatlichen Gebühren,hdt-s197593,de_hdt-ud-train-b-2.conllu
78,fallen,medium,6,Als Neuerung fällt in der Windows- beziehungsweise KDE-Startleiste zunächst,auf,ab;an;aus;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Als Neuerung fällt in der Windows- beziehungsweise KDE-Startleiste zunächst auf , dass der Benutzer hier auswählt , welche Art von Dokument er öffnen oder erstellen möchte .",in der Windows- beziehungsweise KDE-Startleiste zunächst,hdt-s68632,de_hdt-ud-train-a-2.conllu
79,fallen,long,13,"Gestern um 7.00 Uhr fiel eine CPU in dem HTTP-Server ( Sun Enterprise 6500 , Solaris 2.7 )",aus,ab;an;auf;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Gestern um 7.00 Uhr fiel eine CPU im HTTP-Server ( Sun Enterprise 6500 , Solaris 2.7 ) aus .","eine CPU in dem HTTP-Server ( Sun Enterprise 6500 , Solaris 2.7 )",hdt-s115777,de_hdt-ud-test.conllu
80,fallen,long,8,Auch der ISDN-Anschluß in Anlagenausführung und der Primärmultiplexanschluß fallen mit 54 respektive 420 Mark pro Monat günstig,aus,ab;an;auf;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,Auch der ISDN-Anschluß in Anlagenausführung und der Primärmultiplexanschluß fallen mit 54 respektive 420 Mark pro Monat günstig aus .,mit 54 respektive 420 Mark pro Monat günstig,hdt-s77725,de_hdt-ud-train-a-2.conllu
81,fallen,long,27,"Zu der Zeit fallen bei T-Online neben der Grundgebühr und eventuell den Minutenpreisen für den Internet-Zugang Telefonkosten von acht Pfennig in der Hauptzeit und drei bis 4,8 Pfennig in der Nebenzeit",an,ab;auf;aus;auseinander;durch;ein;flach;heraus;herein;leicht;schwer;um;weg;zu;zurück;zusammen,17,"Zur Zeit fallen bei T-Online neben der Grundgebühr und eventuell den Minutenpreisen für den Internet-Zugang Telefonkosten von acht Pfennig in der Hauptzeit und drei bis 4,8 Pfennig in der Nebenzeit an .","bei T-Online neben der Grundgebühr und eventuell den Minutenpreisen für den Internet-Zugang Telefonkosten von acht Pfennig in der Hauptzeit und drei bis 4,8 Pfennig in der Nebenzeit",hdt-s59775,de_hdt-ud-train-a-1.conllu
82,laufen,short,0,"Aktion "" Stimm gegen Spam "" läuft",weiter,ab;an;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;zu;zuwider,17,"Aktion "" Stimm gegen Spam "" läuft weiter",,hdt-s59903,de_hdt-ud-train-a-1.conllu
83,laufen,short,0,Ein Lizenzierungsprogramm für die Hersteller von Player-Software laufe,an,ab;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,Ein Lizenzierungsprogramm für die Hersteller von Player-Software laufe an .,,hdt-s181719,de_hdt-ud-train-b-2.conllu
84,laufen,short,0,Vermittlung von ausländischen IT-Spezialisten läuft,an,ab;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,Vermittlung von ausländischen IT-Spezialisten läuft an,,hdt-s39336,de_hdt-ud-train-a-1.conllu
85,laufen,medium,5,Anfang September und dann später in dem Dezember laufen Haltefristen für Telekom-Papiere von VoiceStream-Altaktionären,aus,ab;an;auf;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,Anfang September und dann später im Dezember laufen Haltefristen für Telekom-Papiere von VoiceStream-Altaktionären aus .,Haltefristen für Telekom-Papiere von VoiceStream-Altaktionären,hdt-s151241,de_hdt-ud-train-b-1.conllu
86,laufen,medium,5,Läuft die Entwicklung dann nicht darauf,hinaus,ab;an;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinterher;nach;weg;weiter;zu;zuwider,17,"Läuft die Entwicklung dann nicht darauf hinaus , dass der Dumme letztlich der Kunde ist ?",die Entwicklung dann nicht darauf,hdt-s39028,de_hdt-ud-train-a-1.conllu
87,laufen,medium,6,Aber die Regulierung laufe derzeit auf ein Oligopol der Netzbetreiber,hinaus,ab;an;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinterher;nach;weg;weiter;zu;zuwider,17,"Aber die Regulierung laufe derzeit auf ein Oligopol der Netzbetreiber hinaus , das sich in den neuen UMTS-Mobilfunksystemen fortzusetzen droht .",derzeit auf ein Oligopol der Netzbetreiber,hdt-s178745,de_hdt-ud-train-b-2.conllu
88,laufen,long,8,Mit Torpedo Jaroslawl und seinem Stammklub SKA Sankt Petersburg lief er in einer Saison für zwei verschiedene Teams,auf,ab;an;aus;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,Mit Torpedo Jaroslawl und seinem Stammklub SKA Sankt Petersburg lief er in einer Saison für zwei verschiedene Teams auf.,er in einer Saison für zwei verschiedene Teams,train-s6814,de_gsd-ud-train.conllu
89,laufen,long,12,"Nicht nur , dass sich der TimeSink Advertisement Robot nie beendet , er läuft dank Autostart-Eintrag in der Windows-Registry auch nach jedem Rechnerstart auf das neue",an,ab;auf;aus;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,"Nicht nur , dass sich der TimeSink Advertisement Robot nie beendet , er läuft dank Autostart-Eintrag in der Windows-Registry auch nach jedem Rechnerstart aufs neue an .",dank Autostart-Eintrag in der Windows-Registry auch nach jedem Rechnerstart auf das neue,hdt-s120018,de_hdt-ud-test.conllu
90,laufen,long,11,Nach dem 10. September läuft der Rabatt in Höhe von 400 Mark für Online-Bestellungen des 2-GHz-Systems,aus,ab;an;auf;davon;durch;ein;entgegen;heiss;herab;hinaus;hinterher;nach;weg;weiter;zu;zuwider,17,Nach dem 10. September läuft der Rabatt in Höhe von 400 Mark für Online-Bestellungen des 2-GHz-Systems aus .,der Rabatt in Höhe von 400 Mark für Online-Bestellungen des 2-GHz-Systems,hdt-s45966,de_hdt-ud-train-a-1.conllu
91,bringen,short,2,Fractal Design ( http://www.fractal.com ) bringt solche Software,ein,ab;an;auf;bei;entgegen;fertig;heraus;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,"Fractal Design ( http://www.fractal.com ) bringt solche Software ein wie das Malprogramm Painter , das naturgetreu das Aussehen von Ölfarben oder Zeichenkreiden nachahmt .",solche Software,hdt-s181838,de_hdt-ud-train-b-2.conllu
92,bringen,short,2,Compaq bringt neuen Alpha-Prozessor,heraus,ab;an;auf;bei;ein;entgegen;fertig;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,Compaq bringt neuen Alpha-Prozessor heraus,neuen Alpha-Prozessor,hdt-s116795,de_hdt-ud-test.conllu
93,bringen,short,2,Eine Single-User-SQL-Datenbank bringt REALbasic ebenfalls,mit,ab;an;auf;bei;ein;entgegen;fertig;heraus;hinzu;nah;um;unter;vor;voran;zusammen,16,Eine Single-User-SQL-Datenbank bringt REALbasic ebenfalls mit .,REALbasic ebenfalls,hdt-s4244,de_hdt-ud-dev.conllu
94,bringen,medium,4,Hier bringt IBM erstmals das Kunststück,fertig,ab;an;auf;bei;ein;entgegen;heraus;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,"Hier bringt IBM erstmals das Kunststück fertig , vier statt bisher drei Magnetscheiben auf so engem Raum unterzubringen .",IBM erstmals das Kunststück,hdt-s25780,de_hdt-ud-train-a-1.conllu
95,bringen,medium,5,Trotzdem bringt ricardo jetzt eine eigene Mode-Kollekion,heraus,ab;an;auf;bei;ein;entgegen;fertig;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,Trotzdem bringt ricardo jetzt eine eigene Mode-Kollekion heraus :,ricardo jetzt eine eigene Mode-Kollekion,hdt-s178560,de_hdt-ud-train-b-2.conllu
96,bringen,medium,4,"Der Reisebranche brachte dies 14,5 Milliarden US-Dollar",ein,ab;an;auf;bei;entgegen;fertig;heraus;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,"Der Reisebranche brachte dies 14,5 Milliarden US-Dollar ein .","dies 14,5 Milliarden US-Dollar",hdt-s65820,de_hdt-ud-train-a-2.conllu
97,bringen,long,10,In das gemeinsame Joint-Venture mit einem Wert von 250 Millionen Honkong-Dollar ( rund 68 Millionen Mark ) bringen die beiden Partner ihre existierenden Fabriken in der Volksrepublik China,ein,ab;an;auf;bei;entgegen;fertig;heraus;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,In das gemeinsame Joint-Venture mit einem Wert von 250 Millionen Honkong-Dollar ( rund 68 Millionen Mark ) bringen die beiden Partner ihre existierenden Fabriken in der Volksrepublik China ein .,die beiden Partner ihre existierenden Fabriken in der Volksrepublik China,hdt-s43837,de_hdt-ud-train-a-1.conllu
98,bringen,long,12,Doch auch Intel bleibt nicht untätig und brachte erst vor kurzem eine Low-Voltage-Version des Mobile Pentium III mit 700 MHz,heraus,ab;an;auf;bei;ein;entgegen;fertig;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,"Doch auch Intel bleibt nicht untätig und brachte erst vor kurzem eine Low-Voltage-Version des Mobile Pentium III mit 700 MHz heraus , die mit gerade mal 10 Watt im Normalbetrieb auskommt .",erst vor kurzem eine Low-Voltage-Version des Mobile Pentium III mit 700 MHz,hdt-s186700,de_hdt-ud-train-b-2.conllu
99,bringen,long,9,MainboardsChipsatz-TreiberAMD bringt für den Irongate-Chipsatz direkt einen ganzen Haufen neuer Treiber,heraus,ab;an;auf;bei;ein;entgegen;fertig;hinzu;mit;nah;um;unter;vor;voran;zusammen,16,MainboardsChipsatz-TreiberAMD bringt für den Irongate-Chipsatz direkt einen ganzen Haufen neuer Treiber heraus :,für den Irongate-Chipsatz direkt einen ganzen Haufen neuer Treiber,hdt-s145828,de_hdt-ud-train-b-1.conllu
100,schlagen,short,0,Er schlägt,vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,"Er schlägt vor , die persönlichen Daten von Internetnutzern als persönliches Eigentum unter entsprechend hohen Schutz zu stellen und nicht freiwilligen Vereinbarungen der Netzbetreiber und Dienstanbieter zu überlassen .",,hdt-s198873,de_hdt-ud-train-b-2.conllu
101,schlagen,short,2,"So sollte etwa der Kauf von Schüler-PCs von der Bundesregierung steuerlich gefördert werden , schlug der Branchenverband",vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,"So sollte etwa der Kauf von Schüler-PCs von der Bundesregierung steuerlich gefördert werden , schlug der Branchenverband vor .",der Branchenverband,hdt-s156445,de_hdt-ud-train-b-1.conllu
102,schlagen,short,0,"Robin Gape , der Vorsitzende der Arbeitsgruppe SEC LI , schlug",vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,"Robin Gape , der Vorsitzende der Arbeitsgruppe SEC LI , schlug vor , den Betreiber der US-Website Cryptome , wo einige nicht zur Publikation bestimmte Dokumente von SEC LI erhältlich sind , durch ETSI-Anwälte auffordern zu lassen , die Dokumente vom Netz zu nehmen .",,hdt-s96503,de_hdt-ud-train-a-2.conllu
103,schlagen,medium,4,Anoto schlägt aber noch andere Anwenungen,vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,Anoto schlägt aber noch andere Anwenungen vor :,aber noch andere Anwenungen,hdt-s113484,de_hdt-ud-test.conllu
104,schlagen,medium,3,Der Verband schlägt den Unternehmen zudem,vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,"Der Verband schlägt den Unternehmen zudem vor , den Kunden die Möglichkeit einzuräumen , sich selbst aus dem Mail-Verteiler austragen zu können .",den Unternehmen zudem,hdt-s66510,de_hdt-ud-train-a-2.conllu
105,schlagen,medium,5,"Eine solche Abgabe könnte rund 15 Mark pro Monat betragen , sei dann aber von allen volljährigen Bürgern zu entrichten , schlägt der Baden-Württembergische CDU-Fraktionschef Günther Oettinger",vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,"Eine solche Abgabe könnte rund 15 Mark pro Monat betragen , sei dann aber von allen volljährigen Bürgern zu entrichten , schlägt der Baden-Württembergische CDU-Fraktionschef Günther Oettinger vor .",der Baden-Württembergische CDU-Fraktionschef Günther Oettinger,hdt-s113385,de_hdt-ud-test.conllu
106,schlagen,long,17,In dieser Rechnung schlägt sich auch der Übernahmeversuch der deutschen Mannesmann AG durch die britische Vodafone AirTouch mit 148 Milliarden US-Dollar,nieder,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;vor;weiter;zu;zurück;zusammen,16,In dieser Rechnung schlägt sich auch der Übernahmeversuch der deutschen Mannesmann AG durch die britische Vodafone AirTouch mit 148 Milliarden US-Dollar nieder .,sich auch der Übernahmeversuch der deutschen Mannesmann AG durch die britische Vodafone AirTouch mit 148 Milliarden US-Dollar,hdt-s80545,de_hdt-ud-train-a-2.conllu
107,schlagen,long,9,Stattdessen schlug der Konzern gewisse Beschränkungen und Regeln für seine Geschäftspolitik,vor,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;weiter;zu;zurück;zusammen,16,Stattdessen schlug der Konzern gewisse Beschränkungen und Regeln für seine Geschäftspolitik vor .,der Konzern gewisse Beschränkungen und Regeln für seine Geschäftspolitik,hdt-s180524,de_hdt-ud-train-b-2.conllu
108,schlagen,long,11,Offensichtlich schlug die Flaute in dem PC-Geschäft der letzten Monate bei Gateway voll,zu,an;auf;aus;drauf;durch;ein;entgegen;fehl;herum;los;nieder;vor;weiter;zurück;zusammen,16,Offensichtlich schlug die Flaute im PC-Geschäft der letzten Monate bei Gateway voll zu .,die Flaute in dem PC-Geschäft der letzten Monate bei Gateway voll,hdt-s143099,de_hdt-ud-train-b-1.conllu
109,führen,short,2,Als Begründung für die geballte Kritik an Internet-Unternehmen führte der Werberat,an,ab;auf;aus;durch;ein;fort;hinab;hindurch;irre;vor;vorbei;weiter;zurück;zusammen,15,"Als Begründung für die geballte Kritik an Internet-Unternehmen führte der Werberat an , dass Webfirmen häufiger als andere Werbetreibende auf provozierende Bildmotive zurückgreifen würden , um rasch Marktbedeutung zu erlangen .",der Werberat,hdt-s201909,de_hdt-ud-train-b-2.conllu
110,führen,short,0,Man hat dort jetzt auch eine Demo-Webseite und führt,vor,ab;an;auf;aus;durch;ein;fort;hinab;hindurch;irre;vorbei;weiter;zurück;zusammen,15,"Man hat dort jetzt auch eine Demo-Webseite und führt vor , daß die ID-Nummern online nicht nur gelesen , sondern sogar heimlich geändert werden können .",,hdt-s53537,de_hdt-ud-train-a-1.conllu
111,führen,short,0,Das Unternehmen führt,an,ab;auf;aus;durch;ein;fort;hinab;hindurch;irre;vor;vorbei;weiter;zurück;zusammen,15,"Das Unternehmen führt an , gestiegene Kosten bei der Kundenwerbung im Mobilfunkbereich seien hierfür verantwortlich .",,hdt-s205709,de_hdt-ud-train-b-2.conllu
112,führen,medium,3,Ein Viertel seiner Einnahmen führt er nach Niue,ab,an;auf;aus;durch;ein;fort;hinab;hindurch;irre;vor;vorbei;weiter;zurück;zusammen,15,Ein Viertel seiner Einnahmen führt er nach Niue ab .,er nach Niue,hdt-s127591,de_hdt-ud-train-b-1.conllu
113,führen,medium,5,Nun führt der Internet-Musikdienstleister einen neuen Service,ein,ab;an;auf;aus;durch;fort;hinab;hindurch;irre;vor;vorbei;weiter;zurück;zusammen,15,Nun führt der Internet-Musikdienstleister einen neuen Service ein :,der Internet-Musikdienstleister einen neuen Service,hdt-s178132,de_hdt-ud-train-b-2.conllu
114,führen,medium,7,Science und Celera führen diese Einschränkungen auch auf die amerikanische Rechtslage,zurück,ab;an;auf;aus;durch;ein;fort;hinab;hindurch;irre;vor;vorbei;weiter;zusammen,15,"Science und Celera führen diese Einschränkungen auch auf die amerikanische Rechtslage zurück , was den Besitz von Datenbanken angeht .",diese Einschränkungen auch auf die amerikanische Rechtslage,hdt-s95490,de_hdt-ud-train-a-2.conllu
115,führen,long,13,"Nach erfolgreichem Test in den USA führt LEGO den Roboter-Baukasten "" Robotics Invention Systems 1.5 "" ab Oktober in Deutschland",ein,ab;an;auf;aus;durch;fort;hinab;hindurch;irre;vor;vorbei;weiter;zurück;zusammen,15,"Nach erfolgreichem Test in den USA führt LEGO den Roboter-Baukasten "" Robotics Invention Systems 1.5 "" ab Oktober in Deutschland ein .","LEGO den Roboter-Baukasten "" Robotics Invention Systems 1.5 "" ab Oktober in Deutschland",hdt-s47816,de_hdt-ud-train-a-1.conllu
116,führen,long,8,"Auf einer gestrigen Pre-IFA-Konferenz führte der Konzern seinen 100-Hz-Fernseher "" Lenaro 92 """,vor,ab;an;auf;aus;durch;ein;fort;hinab;hindurch;irre;vorbei;weiter;zurück;zusammen,15,"Auf einer gestrigen Pre-IFA-Konferenz führte der Konzern seinen 100-Hz-Fernseher "" Lenaro 92 "" vor , der in schickem Edel-Design daherkommt , aber zusätzlich mit inneren Werten wie DVD-Player , Dolby-5.1-Sound und eben jenen besagten Standardeinschüben für verschiedene Module glänzen kann .","der Konzern seinen 100-Hz-Fernseher "" Lenaro 92 """,hdt-s27428,de_hdt-ud-train-a-1.conllu
117,führen,long,9,Die Zuwächse führt Adobe auf das gute Geschäft mit Web-Design- und Acrobat-Software,zurück,ab;an;auf;aus;durch;ein;fort;hinab;hindurch;irre;vor;vorbei;weiter;zusammen,15,"Die Zuwächse führt Adobe auf das gute Geschäft mit Web-Design- und Acrobat-Software zurück "" Wir sind in der besten Position in der siebzehnjährigen Geschichte des Unternehmens "" , kommentierte Adobe-CEO John Warnock das Quartalsergebnis .",Adobe auf das gute Geschäft mit Web-Design- und Acrobat-Software,hdt-s15588,de_hdt-ud-test.conllu
118,treten,short,2,Bei der Analyse traten mehrere Schwachstellen,zutage,ab;an;auf;aus;bei;ein;entgegen;heran;hervor;los;vor;zurück;zusammen,14,"Bei der Analyse traten mehrere Schwachstellen zutage , die das WEP-Verfahren unter anderem wegen des verwendeten symmetrischen RC4-Algorithmus verhältnismäßig leicht angreifbar machen :",mehrere Schwachstellen,hdt-s78260,de_hdt-ud-train-a-2.conllu
